pcb_material,solder_type,coating_type,component_density,via_structure,surface_finish,process_line,chamber_id,laminate_vendor,thickness_mm,copper_layers,copper_weight_oz,thermal_cycles,temp_min_c,temp_max_c,temp_span_c,ramp_rate_c_per_min,dwell_hot_min,dwell_cold_min,humidity_percent,vacuum_kpa,vibration_rms_g,initial_scale_coeff,rework_count,pcb_area_cm2,hole_density_per_dm2,copper_imbalance_percent,void_fraction_percent,ionic_contamination_ug_cm2,board_age_days,cycles_per_day,peak_assembly_temp_c,inspection_delay_hours,tg_c,cte_z_ppm,moisture_absorption_percent,warp_energy_index,via_fatigue_index,solder_creep_index,delamination_risk_index,residual_stress_index,deformation_um,drift_percent,post_scale_coeff,exceeds_threshold,severe_threshold
Polyimide,SnAgCu,NanoCeramic,UltraHigh,Microvia,ENIG,LineD,Chamber_3,VendorD,1.749,6,1.0,1752,-40,85,125,17.974,110,31,28.57,3.261,15.342,1.006398,0,36.76,336.37,0.5,1.524,0.636,140,0.795,255,46.86,255.0,47.0,0.27,0.836,149.344,127.877,5.536,2.524,26.212,3.498,1.041602,1,0
Rogers,SnPb,Acrylic,Medium,Through,ImmAg,LineB,Chamber_1,VendorD,1.543,4,3.0,926,-40,105,145,10.304,41,14,78.29,2.545,10.248,1.00733,0,186.82,84.28,22.22,2.507,1.358,668,4.824,265,18.31,287.0,31.0,0.05,7.058,107.801,112.951,8.626,3.078,17.06,3.6746,1.044345,1,0
Polyimide,SnAgCu,Parylene,High,BlindBuried,ImmAg,LineB,Chamber_2,VendorC,1.234,4,1.0,828,-40,125,165,2.151,57,9,7.81,8.378,2.615,1.004964,0,154.94,83.45,4.77,0.955,,80,8.453,245,5.23,255.0,47.0,0.27,4.658,132.872,87.751,3.649,2.876,3.324,2.2706,1.027783,0,0
HighTg_FR4,SnAgCu,Acrylic,UltraHigh,Microvia,HASL,LineA,Chamber_1,VendorC,2.753,6,3.0,2153,-40,125,165,5.837,15,105,53.65,22.831,14.687,0.99263,1,107.89,695.88,2.48,6.278,0.445,364,3.045,245,41.78,172.0,55.0,0.13,2.436,175.656,220.773,11.339,3.239,24.461,4.4719,1.03702,1,0
HighTg_FR4,LowTemp,Silicone,Medium,Through,ImmAg,LineD,Chamber_2,VendorA,1.067,4,2.0,67,-20,70,90,3.978,21,106,62.16,72.47,11.898,1.003465,0,40.5,454.24,0.99,0.579,1.323,187,6.906,245,21.29,172.0,55.0,0.13,1.144,29.592,8.747,6.741,2.077,0.0,0.0707,1.004174,0,0
HighTg_FR4,SnAgCu,Acrylic,High,Through,HASL,LineD,Chamber_1,VendorA,1.253,4,1.0,596,-20,85,105,16.705,49,44,81.44,0.051,12.359,1.021403,0,118.28,452.54,28.72,7.498,0.324,129,1.493,245,62.17,172.0,55.0,0.13,5.355,61.131,44.171,10.031,2.398,10.079,2.4385,1.046309,0,0
Polyimide,SnAgCu,None,Medium,Microvia,OSP,LineB,Chamber_1,VendorC,0.717,4,0.5,1532,-40,105,145,14.667,51,96,80.21,1.031,5.296,0.982792,2,95.62,204.09,19.4,2.223,0.646,647,1.448,245,69.0,255.0,47.0,0.27,6.247,248.66,134.809,19.075,3.026,27.151,6.474,1.046418,1,1
Rogers,SnAgCu,,High,BlindBuried,HASL,LineA,Chamber_3,VendorB,1.918,4,3.0,1926,-20,85,105,10.207,83,35,12.73,0.195,2.694,1.0134,2,59.72,123.43,26.27,4.25,2.005,297,2.234,255,13.18,287.0,31.0,0.05,2.601,104.1,139.009,4.516,2.642,13.395,2.7601,1.041371,0,0
HighTg_FR4,SACXPlus,Parylene,UltraHigh,Microvia,ENIG,LineC,Chamber_2,VendorD,2.508,4,0.5,1032,-40,105,145,17.171,30,41,,0.158,14.053,1.009696,0,58.78,437.42,21.7,1.023,0.373,707,6.898,265,11.23,172.0,55.0,0.13,1.87,97.788,74.246,11.045,3.636,12.78,2.8723,1.038698,0,0
FR4,SnAgCu,None,High,Through,ENIG,LineB,Chamber_3,VendorC,2.006,6,2.0,1598,-40,150,190,7.213,119,85,78.71,0.153,0.89,0.998737,1,206.14,189.49,4.71,4.366,1.136,552,5.475,235,14.82,136.0,69.0,0.18,4.746,136.753,202.761,53.033,3.771,25.112,5.8902,1.057565,1,1
FR4,LowTemp,,UltraHigh,Through,OSP,LineD,Chamber_3,VendorA,2.068,8,1.0,510,-55,105,160,15.677,95,112,15.7,11.014,7.242,1.001996,0,90.98,204.32,20.67,,0.367,467,7.135,265,33.77,136.0,69.0,0.18,3.754,93.748,85.355,16.383,3.072,7.103,2.539,1.027437,0,0
Ceramic,SACXPlus,Silicone,Medium,Through,HASL,LineD,Chamber_3,VendorB,0.839,4,1.0,2043,-20,85,105,8.842,108,76,50.66,0.074,9.16,1.004281,1,40.06,305.86,3.8,1.042,1.071,414,2.714,255,23.24,400.0,8.0,0.01,1.142,115.264,122.094,4.125,3.315,8.543,3.0276,1.034687,1,0
Ceramic,LowTemp,None,Medium,Microvia,ENIG,LineC,Chamber_2,VendorE,2.201,8,1.0,1298,-40,85,125,15.396,41,116,65.74,28.908,0.314,0.988282,1,53.11,173.03,1.79,7.066,0.749,107,1.816,245,46.31,400.0,8.0,0.01,0.766,163.651,160.86,5.63,2.455,14.749,4.3317,1.031092,1,0
FR4,SnAgCu,Silicone,Medium,Microvia,OSP,LineA,Chamber_1,VendorB,1.559,2,1.0,1640,-40,150,190,16.292,70,120,37.5,15.248,10.746,0.980413,3,164.76,658.84,11.57,3.454,0.534,404,4.833,255,33.73,136.0,69.0,0.18,5.083,230.864,205.718,70.296,3.467,30.829,7.081,1.049837,1,1
FR4,LowTemp,,High,BlindBuried,HASL,LineC,Chamber_3,VendorD,1.695,12,2.0,421,-40,85,125,8.763,65,9,40.09,1.122,2.153,1.010878,1,100.06,413.06,3.4,1.244,0.203,690,0.682,245,2.07,136.0,69.0,0.18,2.109,93.257,57.711,12.363,2.38,1.37,1.4232,1.025265,0,0
Polyimide,SnAgCu,None,UltraHigh,BlindBuried,ImmAg,LineD,Chamber_2,VendorA,1.929,6,1.0,1109,-20,85,105,3.862,95,53,15.46,1.269,4.346,,1,30.51,66.62,23.99,2.908,0.467,30,4.348,245,54.07,255.0,47.0,0.27,1.235,79.647,82.711,4.366,2.977,10.821,2.1155,1.0059,0,0
FR4,SnAgCu,Silicone,High,Through,ENIG,LineB,Chamber_1,VendorE,2.748,6,1.0,1613,-55,105,160,4.109,103,60,77.24,,17.884,0.986882,0,30.18,348.14,20.59,1.272,0.944,606,8.166,235,,136.0,69.0,0.18,1.06,100.702,144.155,15.591,4.602,21.348,3.4421,1.020852,1,0
Rogers,SnPb,None,Medium,Microvia,HASL,LineD,Chamber_1,VendorC,2.271,8,1.0,933,-55,105,160,5.768,71,27,27.81,0.054,10.085,0.993813,2,31.2,401.54,23.21,,2.763,302,5.654,255,47.96,287.0,31.0,0.05,1.124,147.751,117.04,6.802,3.259,10.003,2.8271,1.021909,0,0
FR4,SnAgCu,None,Medium,StackedMicrovia,HASL,LineB,Chamber_1,VendorC,2.136,6,1.0,2115,-55,85,140,4.635,118,30,46.01,0.948,17.429,1.003414,0,181.68,263.87,30.85,1.395,,318,4.499,235,60.57,136.0,69.0,0.18,5.453,194.926,153.517,11.15,3.965,26.254,4.8376,1.051955,1,0
FR4,SnAgCu,Parylene,High,Microvia,ENIG,LineD,Chamber_2,VendorC,1.607,6,3.0,1832,-65,105,170,7.478,62,117,53.51,0.197,8.867,0.994008,1,206.7,614.32,12.35,5.642,1.382,495,1.989,255,8.27,136.0,69.0,0.18,7.652,216.486,160.861,15.005,2.857,30.177,4.9286,1.042999,1,0
Rogers,SnAgCu,None,UltraHigh,Through,HASL,LineC,Chamber_3,VendorB,0.772,4,2.0,318,-55,105,160,9.515,37,26,14.03,0.198,14.462,0.991312,1,205.63,374.19,18.99,5.988,0.53,555,4.122,255,43.09,287.0,31.0,0.05,20.247,84.496,29.697,4.404,2.742,14.281,2.5806,1.016893,0,0
FR4,SnAgCu,Parylene,Low,Microvia,ENIG,LineA,Chamber_2,VendorD,1.831,12,1.0,1856,-40,70,110,2.298,25,61,45.66,3.285,0.684,1.011433,1,139.13,182.44,12.72,5.188,0.561,123,4.857,255,67.15,136.0,69.0,0.18,1.879,133.852,107.772,5.908,3.721,0.0,2.1754,1.033436,0,0
FR4,SnAgCu,Parylene,Low,Through,OSP,LineB,Chamber_1,VendorA,2.088,10,3.0,867,-55,85,140,16.446,49,61,20.02,0.324,5.243,0.996001,3,105.07,388.01,4.77,3.898,0.585,513,4.464,255,10.14,136.0,69.0,0.18,1.924,76.856,63.904,11.623,2.704,2.556,2.1333,1.017249,0,0
FR4,SnPb,None,Medium,Through,ENIG,LineA,Chamber_1,VendorA,2.179,6,1.0,1312,-40,125,165,0.842,39,82,27.39,0.866,,0.990418,2,88.44,511.62,28.61,2.03,2.255,706,4.82,255,43.84,136.0,69.0,0.18,3.07,125.87,188.971,22.047,3.509,14.862,4.6012,1.035989,1,0
FR4,SACXPlus,Silicone,Low,Through,ENIG,LineB,Chamber_3,VendorA,1.977,10,0.5,922,-20,85,105,3.179,29,68,38.78,11.664,1.256,1.004735,5,183.47,229.93,19.46,5.893,0.502,169,8.229,265,15.98,136.0,69.0,0.18,2.443,53.907,55.381,8.858,3.19,0.0,2.6721,1.031583,0,0
FR4,SnAgCu,None,UltraHigh,Through,OSP,LineD,Chamber_1,VendorC,1.331,4,0.5,1557,-55,150,205,0.945,57,10,51.06,5.595,17.138,1.000703,0,197.35,613.35,21.19,8.172,0.283,20,1.967,255,31.03,136.0,69.0,0.18,15.106,179.649,193.871,30.973,2.462,25.5,4.9099,1.049836,1,0
FR4,SnPb,Silicone,Medium,Through,ENIG,LineA,Chamber_2,VendorE,1.164,6,2.0,968,-40,85,125,17.768,36,57,45.95,0.614,9.084,1.000345,1,226.44,58.73,8.78,4.838,0.178,183,3.625,245,52.74,136.0,69.0,0.18,5.753,109.915,96.103,11.991,2.626,13.518,2.5315,1.025669,0,0
FR4,SnAgCu,None,Medium,Microvia,OSP,LineD,Chamber_2,VendorA,0.889,6,1.0,1040,-65,105,170,7.863,119,44,12.59,0.073,10.673,1.005321,0,236.63,222.42,28.15,3.917,0.374,189,1.603,255,60.68,136.0,69.0,0.18,18.518,216.874,95.985,12.614,2.611,18.65,3.7265,1.042784,1,0
FR4,SnAgCu,NanoCeramic,Medium,Through,ImmAg,LineA,Chamber_3,VendorE,2.176,4,2.0,1299,-40,105,145,4.172,41,20,38.23,0.061,9.368,0.998351,1,174.5,650.76,17.32,4.437,0.168,340,3.735,245,66.67,136.0,69.0,0.18,4.109,93.511,113.968,10.525,3.188,16.187,3.1763,1.030061,1,0
Polyimide,SnAgCu,None,Medium,Microvia,HASL,LineC,Chamber_2,VendorD,2.739,10,1.0,511,-40,105,145,2.841,75,119,9.61,2.034,4.474,1.010137,2,60.7,201.87,2.36,6.056,0.87,26,1.177,265,,255.0,47.0,0.27,0.811,77.413,48.766,4.695,2.201,5.678,0.5452,1.015645,0,0
Polyimide,SnAgCu,Silicone,UltraHigh,StackedMicrovia,ENIG,LineD,Chamber_2,VendorA,1.803,10,0.5,962,-40,70,110,7.171,92,68,29.07,1.232,16.637,0.982859,0,231.6,71.58,10.9,3.419,0.656,413,3.272,245,62.63,255.0,47.0,0.27,4.964,114.232,60.267,5.294,3.102,11.569,2.318,1.005641,0,0
HighTg_FR4,SnAgCu,None,Medium,BlindBuried,ImmAg,LineC,Chamber_1,VendorA,2.114,10,1.0,148,-40,105,145,17.585,114,116,13.83,21.284,12.042,1.014895,1,45.24,50.62,15.45,0.103,0.975,184,3.535,245,6.99,172.0,55.0,0.13,1.202,40.981,19.57,9.673,1.841,0.0,1.3421,1.028516,0,0
FR4,SnAgCu,None,Low,BlindBuried,,LineD,Chamber_3,VendorB,2.154,6,1.0,166,-40,150,190,10.238,84,111,21.4,0.093,2.225,0.989042,3,79.99,532.47,11.36,7.255,1.312,403,6.291,235,50.61,136.0,69.0,0.18,1.57,56.406,26.037,54.233,2.713,0.0,3.0459,1.019168,1,0
HighTg_FR4,SnAgCu,Acrylic,Medium,Microvia,ImmAg,LineD,Chamber_2,VendorA,1.039,4,1.0,1452,-40,85,125,6.893,35,119,52.23,31.96,8.312,0.98036,2,202.77,248.6,3.9,4.018,0.345,224,7.803,245,,172.0,55.0,0.13,4.229,174.424,103.333,8.271,4.3,19.531,4.1715,1.021255,1,0
Rogers,SnPb,Silicone,UltraHigh,Through,ENIG,LineC,Chamber_2,VendorD,1.103,8,2.0,641,-20,70,90,7.07,69,33,91.31,0.252,0.027,0.99054,2,132.38,540.01,11.03,3.263,,652,4.501,255,6.67,287.0,31.0,0.05,4.382,70.72,56.989,7.913,2.786,4.683,2.9512,1.019773,0,0
Rogers,SnAgCu,NanoCeramic,UltraHigh,BlindBuried,ENIG,LineC,Chamber_1,VendorC,1.137,4,2.0,1486,-20,70,90,2.818,13,100,23.92,0.719,12.145,0.995806,0,72.23,462.97,0.1,5.054,0.648,346,6.687,235,24.54,287.0,31.0,0.05,1.724,103.88,85.632,2.599,3.851,12.99,2.4285,1.01999,0,0
FR4,SnAgCu,None,Medium,BlindBuried,,LineA,Chamber_2,VendorB,2.659,10,1.0,1682,-40,85,125,9.693,37,10,73.23,34.484,9.425,0.99118,0,134.29,530.47,7.2,2.423,0.381,708,3.689,265,25.75,136.0,69.0,0.18,1.562,103.021,118.802,17.237,3.406,9.71,2.9212,1.020134,0,0
FR4,SnAgCu,None,High,Microvia,HASL,LineB,Chamber_1,VendorD,0.733,2,2.0,1477,-65,85,150,8.096,118,63,10.02,29.113,16.276,0.988418,0,189.04,643.82,21.72,1.919,0.373,621,2.689,255,46.77,136.0,69.0,0.18,16.875,251.73,109.265,8.282,3.173,34.484,4.999,1.037829,1,0
FR4,SnPb,Acrylic,Low,Microvia,ImmAg,LineB,Chamber_2,VendorB,1.836,8,1.0,949,-40,125,165,13.336,6,105,36.9,2.504,17.052,1.012127,0,78.77,573.9,18.36,5.27,1.296,533,1.615,255,39.34,136.0,69.0,0.18,1.94,171.124,134.288,41.617,2.597,25.784,4.8384,1.061098,1,0
FR4,SnAgCu,Acrylic,Medium,Microvia,,LineC,Chamber_2,VendorE,1.492,8,2.0,1255,-20,150,170,4.101,43,71,42.93,0.093,1.767,0.989552,0,129.22,122.91,12.76,,0.71,216,3.593,235,67.51,136.0,69.0,0.18,4.346,184.524,156.097,33.481,3.113,14.79,3.4743,1.023932,1,0
HighTg_FR4,SnPb,NanoCeramic,Low,Microvia,ImmAg,LineC,Chamber_3,VendorC,2.085,4,1.0,1731,-40,150,190,3.162,12,29,15.97,4.448,1.611,,4,81.75,636.78,32.63,2.985,0.222,605,6.54,245,10.69,172.0,55.0,0.13,2.81,245.844,295.502,14.497,4.322,30.924,6.3445,1.034633,1,1
HighTg_FR4,SnAgCu,NanoCeramic,High,BlindBuried,OSP,LineB,Chamber_1,VendorB,1.163,4,2.0,779,-40,85,125,10.801,67,14,64.58,16.35,16.184,0.995795,0,106.32,248.27,1.56,2.798,1.034,146,5.264,245,42.89,172.0,55.0,0.13,2.621,102.024,57.904,7.845,2.698,15.203,2.5916,1.021602,0,0
FR4,SnAgCu,NanoCeramic,UltraHigh,Microvia,ImmAg,LineD,Chamber_3,VendorC,2.718,6,1.0,942,-55,105,160,13.563,92,58,19.4,0.367,9.218,,0,65.07,567.07,21.76,1.183,0.42,581,2.168,255,9.96,136.0,69.0,0.18,2.264,114.843,86.028,15.523,2.725,11.515,2.305,1.048161,0,0
HighTg_FR4,SACXPlus,None,Low,StackedMicrovia,ImmAg,LineA,Chamber_1,VendorB,1.396,4,0.5,563,-40,85,125,9.357,14,97,79.66,0.201,8.454,0.987232,2,175.07,374.49,21.13,3.327,0.719,147,6.457,245,61.93,172.0,55.0,0.13,4.018,98.282,33.319,12.183,2.681,7.74,3.4055,1.020852,1,0
HighTg_FR4,SnAgCu,Acrylic,Medium,BlindBuried,ENIG,LineD,Chamber_2,VendorE,2.644,10,1.0,474,-40,70,110,14.389,20,111,60.42,2.186,10.274,0.989204,3,87.74,139.21,17.71,4.469,0.079,379,1.118,245,27.77,172.0,55.0,0.13,1.435,49.467,29.131,9.91,2.332,1.549,2.0067,1.009054,0,0
FR4,SnAgCu,Parylene,Low,StackedMicrovia,ImmAg,LineA,Chamber_1,VendorC,1.937,4,1.0,181,-20,105,125,15.267,104,92,74.2,14.875,8.395,0.995156,2,130.5,489.09,8.97,2.923,0.421,62,1.664,255,20.5,136.0,69.0,0.18,1.657,56.789,22.144,15.856,1.661,10.058,1.7304,1.012376,0,0
Rogers,SnAgCu,Acrylic,Medium,StackedMicrovia,OSP,LineB,Chamber_1,VendorE,1.57,6,1.0,192,-65,85,150,16.566,38,56,21.11,2.321,11.057,1.018531,2,196.61,474.92,17.14,0.968,0.866,408,1.87,255,20.8,287.0,31.0,0.05,5.824,76.96,16.138,5.412,2.071,8.274,2.2019,1.040958,0,0
FR4,SACXPlus,Silicone,Low,BlindBuried,ENIG,LineC,Chamber_3,VendorE,2.241,4,1.0,359,-65,70,135,7.305,6,87,35.17,0.309,17.083,0.995686,1,49.43,637.35,15.99,5.918,0.287,107,5.936,245,8.98,136.0,69.0,0.18,0.967,50.694,17.42,7.647,2.178,9.849,1.3776,1.009403,0,0
Rogers,SnPb,None,Medium,Through,OSP,LineB,Chamber_1,VendorC,1.861,4,0.5,1701,-55,125,180,16.355,17,96,70.9,36.922,10.908,0.98772,2,164.88,299.08,4.96,1.234,0.177,613,2.7,265,15.42,287.0,31.0,0.05,2.88,165.427,242.096,10.939,2.993,22.299,6.1813,1.048774,1,1
FR4,SnPb,Acrylic,UltraHigh,Through,HASL,LineC,Chamber_3,VendorD,0.991,4,1.0,1397,-55,125,180,12.996,110,49,47.71,37.8,5.773,1.004357,1,91.39,519.29,8.04,7.271,,214,7.545,245,27.97,136.0,69.0,0.18,5.273,205.99,206.181,44.214,3.988,28.241,5.8174,1.062785,1,1
Rogers,SACXPlus,Parylene,Low,Microvia,HASL,LineC,Chamber_1,VendorC,2.179,10,2.0,230,-40,150,190,11.548,112,36,64.18,7.45,3.841,1.003464,2,126.34,372.23,14.87,5.943,0.829,711,1.145,255,2.96,287.0,31.0,0.05,2.89,67.961,29.029,7.587,2.278,0.0,2.5425,1.028977,0,0
Rogers,SnAgCu,Acrylic,High,Through,ENIG,LineC,Chamber_2,VendorA,1.917,8,1.0,1699,-65,85,150,10.325,25,36,44.04,0.088,17.39,1.00584,1,176.97,394.2,12.65,7.197,1.229,166,7.987,255,36.69,287.0,31.0,0.05,4.583,116.347,119.6,5.659,4.439,,3.7144,1.043201,1,0
Rogers,SACXPlus,NanoCeramic,Low,BlindBuried,ENIG,LineA,Chamber_1,VendorE,1.888,10,1.0,1661,-40,125,165,1.139,38,91,67.84,0.292,10.429,0.987252,1,223.03,253.27,4.42,3.419,1.147,542,0.441,255,13.72,287.0,31.0,0.05,2.718,135.256,141.59,5.943,2.12,,2.8193,1.015085,0,0
Ceramic,SnAgCu,Acrylic,Medium,BlindBuried,HASL,LineA,Chamber_2,,2.25,6,0.5,2001,-40,85,125,10.438,27,99,65.02,5.511,10.2,0.993226,0,209.06,265.67,8.1,8.724,1.056,57,7.83,255,39.86,400.0,8.0,0.01,2.51,117.923,140.35,4.209,4.606,11.842,2.6486,1.019533,0,0
Ceramic,SnPb,None,Medium,StackedMicrovia,ENIG,LineA,Chamber_3,VendorE,2.072,4,1.0,2133,-40,70,110,14.199,62,28,33.55,18.97,0.6,1.013508,0,217.82,565.78,20.12,10.234,1.587,404,1.458,235,10.25,400.0,8.0,0.01,4.064,188.247,173.375,4.31,2.483,17.532,4.254,1.056623,1,0
Polyimide,SnAgCu,Acrylic,UltraHigh,Microvia,OSP,LineB,Chamber_2,VendorC,1.469,2,2.0,221,-40,105,145,17.8,100,118,87.11,1.839,16.531,1.004908,1,29.02,451.48,23.93,4.475,1.27,690,0.59,235,18.89,255.0,47.0,0.27,2.223,68.694,25.003,17.131,2.319,19.937,3.5527,1.04061,1,0
Ceramic,SnAgCu,None,Medium,Microvia,OSP,LineA,Chamber_1,VendorA,1.369,6,2.0,1171,-40,105,145,8.25,93,8,73.38,0.504,8.453,1.009704,1,111.46,486.71,25.55,2.365,0.896,160,2.576,255,57.09,400.0,8.0,0.01,5.133,160.69,106.019,6.096,2.51,13.37,4.5039,1.05518,1,0
FR4,SACXPlus,Silicone,Low,BlindBuried,ImmAg,LineB,Chamber_3,VendorB,1.227,2,1.0,1799,-40,105,145,17.831,50,54,12.28,41.572,17.996,0.999351,0,195.89,653.13,18.35,6.551,0.733,56,3.126,245,71.59,136.0,69.0,0.18,5.549,152.368,129.317,16.124,3.209,26.688,4.2433,1.041756,1,0
HighTg_FR4,SnAgCu,None,High,Through,ImmAg,LineC,Chamber_2,VendorA,1.908,2,1.0,557,-55,125,180,3.743,85,61,,0.907,3.022,1.012677,0,198.15,488.98,1.87,4.049,0.657,434,6.356,245,25.4,172.0,55.0,0.13,3.565,80.206,61.727,7.528,2.794,4.475,1.4911,1.027777,0,0
HighTg_FR4,SACXPlus,Silicone,High,Microvia,ImmAg,LineD,Chamber_1,,1.33,6,1.0,1331,-40,85,125,17.281,35,12,71.88,52.906,5.872,1.003518,0,111.18,519.41,7.86,0.524,0.476,531,7.676,245,34.3,172.0,55.0,0.13,2.923,131.273,77.693,10.695,4.229,14.628,3.5978,1.039623,1,0
Rogers,SnAgCu,Parylene,High,Through,OSP,LineC,Chamber_2,VendorD,0.953,4,2.0,236,-40,150,190,10.942,110,89,64.15,2.859,3.781,0.993718,0,81.36,545.58,24.76,5.157,0.591,195,3.525,245,32.04,287.0,31.0,0.05,8.094,79.116,35.244,5.795,2.193,5.353,2.4875,1.018437,0,0
HighTg_FR4,LowTemp,Acrylic,Low,BlindBuried,HASL,LineA,Chamber_2,VendorA,2.344,6,2.0,691,-55,70,125,12.196,74,109,91.05,5.33,6.821,1.008946,1,139.83,311.75,9.81,3.968,0.361,192,2.436,255,26.12,172.0,55.0,0.13,1.903,98.293,76.456,10.771,2.081,0.0,2.741,1.036601,0,0
HighTg_FR4,SACXPlus,None,Medium,StackedMicrovia,ImmAg,LineB,Chamber_2,VendorE,1.139,6,1.0,2157,-20,125,145,10.667,111,33,68.14,0.129,17.579,0.989499,1,183.74,332.92,22.79,10.073,1.027,424,2.67,245,18.97,172.0,55.0,0.13,8.488,241.98,186.719,15.923,3.072,27.804,5.8478,1.047363,1,1
Polyimide,SnAgCu,Acrylic,High,BlindBuried,HASL,LineA,Chamber_1,VendorC,1.046,8,2.0,1608,-40,150,190,17.705,35,85,25.15,0.382,7.466,1.018523,0,171.53,685.67,22.02,4.88,0.245,398,7.494,235,46.46,255.0,47.0,0.27,13.844,235.192,198.842,9.262,4.297,25.34,5.9945,1.079579,1,1
FR4,SACXPlus,Parylene,High,Microvia,HASL,LineB,Chamber_1,VendorC,2.483,4,1.0,604,-55,105,160,1.562,115,115,9.87,82.496,,1.012098,1,73.64,400.6,17.54,2.548,1.07,192,0.837,265,17.32,136.0,69.0,0.18,2.088,83.354,48.359,8.299,1.88,18.581,1.8742,1.031067,0,0
FR4,SnPb,Silicone,High,Microvia,ENIG,LineB,Chamber_3,VendorB,2.174,8,0.5,2177,-40,125,165,7.86,38,83,54.98,11.785,13.595,0.996488,1,18.06,275.58,10.49,4.842,2.636,2,3.919,245,32.62,136.0,69.0,0.18,0.557,233.948,310.408,32.974,3.37,30.702,5.6069,1.05236,1,1
HighTg_FR4,LowTemp,None,Medium,Microvia,ENIG,LineD,Chamber_2,VendorA,2.309,4,0.5,477,-55,105,160,15.854,84,57,51.66,1.878,5.363,0.99778,1,214.75,59.62,2.71,0.384,0.191,280,2.187,245,28.78,172.0,55.0,0.13,2.364,122.829,79.866,13.082,2.328,7.136,2.6775,1.024496,0,0
HighTg_FR4,SnAgCu,Silicone,Medium,BlindBuried,OSP,LineC,Chamber_2,VendorC,1.436,4,0.5,859,-40,70,110,3.674,11,114,92.24,,10.438,1.001588,0,116.87,166.39,24.8,1.98,1.02,6,3.291,255,53.9,172.0,55.0,0.13,3.469,84.84,49.702,7.706,2.518,11.47,3.1758,1.033397,1,0
FR4,SnPb,Acrylic,UltraHigh,BlindBuried,HASL,LineA,Chamber_3,VendorB,1.997,4,1.0,1000,-55,105,160,10.597,32,52,71.17,0.097,15.331,0.997926,1,202.81,549.04,8.41,8.316,0.451,582,2.514,255,58.93,136.0,69.0,0.18,5.258,136.063,121.428,20.126,2.952,6.703,3.736,1.035208,1,0
HighTg_FR4,LowTemp,Acrylic,High,Through,OSP,LineC,Chamber_1,VendorC,2.658,2,0.5,1395,-65,105,170,9.806,68,83,88.8,19.265,11.004,1.015828,3,211.44,650.17,9.62,3.129,1.288,243,6.725,245,2.07,172.0,55.0,0.13,3.8,143.67,215.79,14.613,3.475,30.817,5.4218,1.070905,1,1
HighTg_FR4,SnAgCu,None,Low,BlindBuried,HASL,LineD,Chamber_1,VendorC,1.294,6,0.5,606,-55,70,125,14.688,64,94,75.6,0.086,4.769,0.993535,1,226.41,553.46,4.16,2.237,0.788,55,2.443,265,40.99,172.0,55.0,0.13,2.79,88.313,38.638,11.363,2.29,9.759,2.5289,1.01866,0,0
FR4,SnAgCu,NanoCeramic,UltraHigh,Through,ENIG,LineA,Chamber_2,VendorB,0.845,8,1.0,603,-40,85,125,16.594,20,77,66.78,0.947,15.537,0.98197,0,96.32,561.2,24.74,14.15,0.226,507,7.695,255,8.69,136.0,69.0,0.18,8.098,89.305,42.98,12.92,2.801,,2.7382,1.008859,0,0
HighTg_FR4,SnAgCu,None,Medium,BlindBuried,ENIG,LineC,Chamber_2,VendorC,1.059,8,0.5,1489,-55,70,125,5.252,7,42,57.81,1.134,10.011,0.996896,0,164.46,615.76,32.63,3.446,0.668,526,6.123,245,6.93,172.0,55.0,0.13,8.839,150.124,85.456,9.973,3.759,19.222,4.1306,1.038074,1,0
Polyimide,SACXPlus,None,Medium,Microvia,ENIG,LineA,Chamber_3,VendorB,2.585,4,1.0,483,-65,85,150,12.722,102,87,59.36,4.895,17.64,1.009031,1,150.38,322.48,16.39,3.058,0.791,700,2.771,255,24.76,255.0,47.0,0.27,2.827,68.697,32.701,14.915,2.577,13.619,2.9607,1.038905,0,0
FR4,SnAgCu,None,Medium,Through,OSP,LineA,Chamber_2,VendorB,1.291,4,2.0,347,-55,150,205,10.22,34,41,52.69,1.177,11.801,1.012176,1,54.44,114.74,12.3,1.448,0.516,548,0.93,255,5.57,136.0,69.0,0.18,2.801,85.767,44.75,60.997,2.037,11.402,3.3793,1.04638,1,0
Rogers,LowTemp,Silicone,High,BlindBuried,HASL,LineD,Chamber_1,VendorD,1.732,4,1.0,362,-55,150,205,12.2,92,61,83.19,74.184,8.079,1.001366,0,115.0,441.24,17.56,2.637,0.714,325,1.794,265,66.95,287.0,31.0,0.05,5.339,134.298,86.116,8.411,2.633,17.234,3.3858,1.035271,1,0
Rogers,SACXPlus,Acrylic,Medium,Through,HASL,LineA,Chamber_1,VendorA,1.823,12,0.5,749,-40,105,145,4.246,25,68,27.59,21.521,7.846,0.992394,0,113.59,638.27,13.31,8.345,0.495,263,4.618,265,50.05,287.0,31.0,0.05,2.462,71.578,54.039,3.557,2.629,1.501,1.3673,1.005963,0,0
HighTg_FR4,SnAgCu,Acrylic,Medium,Through,HASL,LineC,Chamber_1,VendorB,2.716,4,1.0,109,-55,85,140,5.49,38,39,90.2,73.406,15.842,0.999471,1,60.37,322.72,10.49,1.324,0.51,489,7.09,255,46.65,172.0,55.0,0.13,1.05,25.418,10.069,11.886,2.521,6.407,1.2655,1.012119,0,0
